,#spam with term,#legit with term,IG
language,7,1453,0.1427684763362408
remove,186,23,0.11709831473556154
free,253,138,0.11310331195059092
university,17,1276,0.1005110050612501
money,169,58,0.08226087470903987
click,117,13,0.07087937902843944
market,132,41,0.06412179203771995
our,260,367,0.06154495535697102
business,143,67,0.06018465607204393
today,144,79,0.056414812078057486
$,244,345,0.05589623757154899
advertise,92,11,0.05408769847010719
product,118,43,0.05358212735639428
company,121,48,0.05336577652055213
sell,97,17,0.053262440137394285
million,99,21,0.05209372138642521
english,9,777,0.05180168146139574
internet,152,110,0.05166840962496133
%,126,61,0.0513823221259353
income,85,9,0.05067773394557906
easy,120,57,0.049061535812154944
save,94,22,0.04803468644899472
guarantee,89,17,0.047645546495954594
thousand,94,23,0.047458865643250914
best,163,158,0.046005980448237116
check,164,162,0.04567600700103547
cash,86,18,0.04494046689089731
purchase,95,29,0.04492828775423374
buy,95,30,0.04443107403225788
win,103,43,0.04377467113417427
day,189,241,0.0436779562894033
bulk,77,11,0.043403840905563096
over,189,243,0.04332555997237325
want,173,198,0.04315396811885813
cost,128,90,0.04307069772053512
dollar,88,24,0.0428546338869491
every,136,110,0.0422564807592945
mailing,69,6,0.041823719169078954
edu,13,715,0.04173726475041695
service,135,111,0.04143321826045343
#,124,90,0.04074207159171456
com,186,250,0.04057705498289954
ll,126,95,0.040513734911362065
yourself,81,21,0.03981160828262553
papers,3,557,0.03891473415171498
hundred,65,7,0.038118195864551674
earn,64,7,0.03741626846909335
hour,116,92,0.03567746553385415
customer,61,8,0.03452993732347015
offer,160,213,0.03384700696429349
profit,61,9,0.033783040809550025
success,76,28,0.03311347461587827
month,112,96,0.03249671054202519
conference,8,551,0.03245434561806981
fun,59,9,0.03241602025577561
speaker,2,459,0.03187765959159994
yours,63,14,0.03185469138684871
here,185,305,0.03184305775105145
watch,58,9,0.0317351093904803
receive,193,336,0.031360642066095124
pay,115,109,0.031066230571295317
bonus,48,2,0.030916184460943186
zip,68,22,0.030836463724203844
ever,99,75,0.03079158834690776
discussion,4,476,0.03063613029283263
amaze,49,3,0.030526245122617035
credit,88,55,0.030385505129791435
start,132,156,0.030172954602711022
sale,63,17,0.030164827995240118
live,95,71,0.029678425792803498
toll,46,2,0.02949412185492639
department,6,482,0.0288424161710662
financial,64,22,0.028316474687572757
anywhere,66,25,0.028210772774614035
online,75,39,0.028154088123985177
dream,55,12,0.02777406437757657
science,1,391,0.027761758217817956
huge,50,7,0.027753435208194233
structure,2,399,0.02689486585885975
friend,78,49,0.02658695740326389
simply,97,89,0.026298460617178887
ad,68,33,0.02621062620924408
week,128,172,0.02557202782523177
wait,57,19,0.025350507093075902
need,169,302,0.025339146406885615
study,20,586,0.025169669126850425
fresh,46,7,0.025054231308216768
security,48,10,0.024398819553943518
analysis,6,426,0.024352642864922835
xxx,37,1,0.024345878234763196
marketing,37,1,0.024345878234763196
off,90,85,0.023665180304581035
topic,6,416,0.02356927194178038
ship,54,19,0.0234947036474768
home,125,179,0.023170848371969643
line,137,215,0.023170705374446543
cd,62,32,0.023078673071871558
de,18,537,0.022900032746000887
profitable,38,3,0.022846048747734937
secret,48,13,0.022689397040642434
back,105,127,0.02263605554766951
instruction,82,72,0.02258943795774432
legal,58,27,0.022582898068653767
package,61,32,0.022504631340818315
excite,51,18,0.022109426197632343
spend,59,30,0.022061556638524937
research,37,685,0.021984733580132643
debt,39,5,0.021831613517611592
immediately,71,53,0.02163897087028277
keep,91,98,0.02147068046279832
freedom,45,12,0.021321990387321854
committee,1,311,0.0213109076901129
issue,14,476,0.021283466150771313
step,64,41,0.02127513723456209
advertisement,44,11,0.0212318381987725
overnight,34,2,0.021066471725815994
reference,15,483,0.02106329574419291
net,80,75,0.020914928641224517
delivery,45,13,0.0207988057332128
price,99,122,0.020786640938992407
development,3,338,0.020750703251047442
delete,52,23,0.020603811426635532
hello,47,16,0.02057818760658281
adult,62,40,0.020485761287995397
everything,58,33,0.020469413089006294
site,136,233,0.020450148899055054
aol,46,15,0.020433721295770202
risk,46,15,0.020433721295770202
orders,31,1,0.020114542049440853
right,105,143,0.020011912706678958
again,102,135,0.01997055874762549
reply,101,133,0.01985525735300825
never,91,108,0.019623205589539783
fill,72,64,0.01943520265972748
unlimit,33,3,0.019415592299371842
hit,45,16,0.019359467637619143
speech,3,319,0.0192878956746228
simple,85,95,0.019251980156769766
enter,58,37,0.019214530027765464
ac,7,370,0.01911369410669156
sales,29,1,0.018713467845278886
tel,3,309,0.018525277621755598
once,86,102,0.018438784425111376
hot,41,13,0.018317016278602993
author,9,382,0.018289383645976653
next,88,108,0.018288895553890294
sex,46,20,0.01826796514729767
campaign,32,4,0.017908092380658047
tax,37,9,0.01789948603630004
amount,80,90,0.01789948594998797
card,88,112,0.017622643923478565
aspect,7,349,0.01756755442373803
bill,64,55,0.01756105186706619
list,201,504,0.01751117689355114
message,124,219,0.017510467487485304
return,76,83,0.017387672994553016
down,78,88,0.017363231089943643
partner,37,10,0.017353484851604595
love,45,21,0.01730208297376218
don,48,26,0.017218417323753288
ve,94,131,0.017196530031250823
monthly,32,5,0.017167982175645302
submission,9,366,0.017135114129415263
personal,79,92,0.017088272989759623
great,96,138,0.016993216844577885
